ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1984,1984-09-02,1,22.184,GNB,,STL,W 24-23,,,,,,,,,,,,,,,,,
2,1984,1984-09-09,2,22.191,GNB,@,RAI,L 7-28,,,,,,,,,,,,,,,,,
3,1984,1984-09-16,3,22.198,GNB,,CHI,L 7-9,,,,,,,,,,,,,,,,,
4,1984,1984-09-23,4,22.205,GNB,@,DAL,L 6-20,,,,,,,,,,,,,,,,,
5,1984,1984-09-30,5,22.212,GNB,@,TAM,L 27-30,,,,,,,,,,,,,,,,,
6,1984,1984-10-07,6,22.219,GNB,,SDG,L 28-34,,,,,,,,,,,,,,,,,
7,1984,1984-10-15,7,22.227,GNB,@,DEN,L 14-17,,,,,,,,,,,,,,,,,
8,1984,1984-10-21,8,22.233,GNB,,SEA,L 24-30,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
9,1984,1984-10-28,9,22.240,GNB,,DET,W 41-9,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,,0
10,1984,1984-11-04,10,22.247,GNB,@,NOR,W 23-13,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
11,1984,1984-11-11,11,22.254,GNB,,MIN,W 45-17,,0,0,,0,6,6,100.0,1,1,100.0,0,9,0,0,,0
12,1984,1984-11-18,12,22.261,GNB,,RAM,W 31-6,,0,0,,0,4,4,100.0,1,3,33.3,0,7,0,0,,0
13,1984,1984-11-22,13,22.265,GNB,@,DET,L 28-31,,0,0,,0,4,4,100.0,,,,0,4,,,,
14,1984,1984-12-02,14,22.275,GNB,,TAM,W 27-14,,0,0,,0,3,3,100.0,,,,0,3,,,,
15,1984,1984-12-09,15,22.282,GNB,@,CHI,W 20-14,,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
16,1984,1984-12-16,16,22.289,GNB,@,MIN,W 38-14,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
17,1985,1985-09-08,1,23.190,GNB,@,NWE,L 20-26,,0,0,,0,2,3,66.7,,1,0.0,0,2,0,0,,0
18,1985,1985-09-15,2,23.197,GNB,,NYG,W 23-20,,0,0,,0,2,3,66.7,1,1,100.0,0,5,0,0,,0
19,1985,1985-09-22,3,23.204,GNB,,NYJ,L 3-24,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
20,1985,1985-09-29,4,23.211,GNB,@,STL,L 28-43,,0,0,,0,4,4,100.0,,,,0,4,,,,
21,1985,1985-10-06,5,23.218,GNB,,DET,W 43-10,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,,0
22,1985,1985-10-13,6,23.225,GNB,,MIN,W 20-17,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
23,1985,1985-10-21,7,23.233,GNB,@,CHI,L 7-23,,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
24,1985,1985-10-27,8,23.239,GNB,@,IND,L 10-37,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
25,1985,1985-11-03,9,23.246,GNB,,CHI,L 10-16,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
26,1985,1985-11-10,10,23.253,GNB,@,MIN,W 27-17,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
27,1985,1985-11-17,11,23.260,GNB,,NOR,W 38-14,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
28,1985,1985-11-24,12,23.267,GNB,@,RAM,L 17-34,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
29,1985,1985-12-01,13,23.274,GNB,,TAM,W 21-0,,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,,0
30,1985,1985-12-08,14,23.281,GNB,,MIA,L 24-34,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
31,1985,1985-12-15,15,23.288,GNB,@,DET,W 26-23,,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
32,1985,1985-12-22,16,23.295,GNB,@,TAM,W 20-17,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
33,1986,1986-09-07,1,24.189,GNB,,HOU,L 3-31,,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
34,1986,1986-09-14,2,24.196,GNB,@,NOR,L 10-24,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
35,1986,1986-09-22,3,24.204,GNB,,CHI,L 12-25,,0,0,,0,,,,4,5,80.0,0,12,0,0,,0
36,1986,1986-09-28,4,24.210,GNB,@,MIN,L 7-42,,0,0,,0,1,1,100.0,,,,0,1,,,,
37,1986,1986-10-05,5,24.217,GNB,,CIN,L 28-34,,0,0,,0,4,4,100.0,,,,0,4,,,,
38,1986,1986-10-12,6,24.224,GNB,,DET,L 14-21,,0,0,,0,2,2,100.0,,,,0,2,,,,
39,1986,1986-10-19,7,24.231,GNB,@,CLE,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
40,1986,1986-10-26,8,24.238,GNB,,SFO,L 17-31,,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
41,1986,1986-11-02,9,24.245,GNB,@,PIT,L 3-27,,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
42,1986,1986-11-09,10,24.252,GNB,,WAS,L 7-16,,0,0,,0,1,1,100.0,,2,0.0,0,1,0,0,,0
43,1986,1986-11-16,11,24.259,GNB,,TAM,W 31-7,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
44,1986,1986-11-23,12,24.266,GNB,@,CHI,L 10-12,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
45,1986,1986-11-27,13,24.270,GNB,@,DET,W 44-40,,0,0,,0,5,5,100.0,3,4,75.0,0,14,0,0,,0
46,1986,1986-12-07,14,24.280,GNB,,MIN,L 6-32,,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
47,1986,1986-12-14,15,24.287,GNB,@,TAM,W 21-7,,0,0,,0,3,3,100.0,,,,0,3,,,,
48,1986,1986-12-20,16,24.293,GNB,@,NYG,L 24-55,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
49,1987,1987-09-13,1,25.195,GNB,,RAI,L 0-20,,,,,,,,,,,,,,,,,
50,1987,1987-09-20,2,25.202,GNB,,DEN,T 17-17,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
51,1987,1987-10-25,6,25.237,GNB,@,DET,W 34-33,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
52,1987,1987-11-01,7,25.244,GNB,,TAM,L 17-23,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
53,1987,1987-11-08,8,25.251,GNB,,CHI,L 24-26,,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
54,1987,1987-12-13,13,25.286,STL,,NYG,W 27-24,,0,0,,0,3,4,75.0,,1,0.0,0,3,0,0,,0
55,1987,1987-12-20,14,25.293,STL,@,TAM,W 31-14,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
56,1987,1987-12-27,15,25.300,STL,@,DAL,L 16-21,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
57,1988,1988-09-04,1,26.186,PHO,@,CIN,L 14-21,,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
58,1988,1988-09-12,2,26.194,PHO,,DAL,L 14-17,,1,8,8.00,0,2,2,100.0,,1,0.0,0,2,0,0,,0
59,1988,1988-09-18,3,26.200,PHO,@,TAM,W 30-24,,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,,0
60,1988,1988-09-25,4,26.207,PHO,,WAS,W 30-21,,0,0,,0,4,4,100.0,,,,0,4,,,,
61,1988,1988-10-02,5,26.214,PHO,@,RAM,W 41-27,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0,0,,0
62,1988,1988-10-09,6,26.221,PHO,,PIT,W 31-14,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
63,1988,1988-10-16,7,26.228,PHO,@,WAS,L 17-33,,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
64,1988,1988-10-23,8,26.235,PHO,,CLE,L 21-29,,0,0,,0,3,3,100.0,,,,0,3,,,,
65,1988,1988-10-30,9,26.242,PHO,@,DAL,W 16-10,,0,0,,0,1,2,50.0,1,1,100.0,0,4,0,0,,0
66,1988,1988-11-06,10,26.249,PHO,,SFO,W 24-23,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
67,1988,1988-11-13,11,26.256,PHO,,NYG,W 24-17,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
68,1988,1988-11-20,12,26.263,PHO,@,HOU,L 20-38,,0,0,,0,2,3,66.7,,,,0,2,,,,
69,1988,1988-11-27,13,26.270,PHO,@,PHI,L 21-31,,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,,0
70,1988,1988-12-04,14,26.277,PHO,@,NYG,L 7-44,,0,0,,0,1,1,100.0,,,,0,1,,,,
71,1988,1988-12-10,15,26.283,PHO,,PHI,L 17-23,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
72,1988,1988-12-18,16,26.291,PHO,,GNB,L 17-26,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
73,1989,1989-09-10,1,27.192,PHO,@,DET,W 16-13,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
74,1989,1989-09-17,2,27.199,PHO,@,SEA,W 34-24,,0,0,,0,4,5,80.0,,,,0,4,,,,
75,1989,1989-09-24,3,27.206,PHO,@,NYG,L 7-35,,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
76,1989,1989-10-01,4,27.213,PHO,,SDG,L 13-24,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
77,1989,1989-10-08,5,27.220,PHO,@,WAS,L 28-30,,0,0,,0,4,4,100.0,,,,0,4,,,,
78,1989,1989-10-15,6,27.227,PHO,,PHI,L 5-17,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
79,1989,1989-10-22,7,27.234,PHO,,ATL,W 34-20,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
80,1989,1989-10-29,8,27.241,PHO,@,DAL,W 19-10,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0,0,,0
81,1989,1989-11-05,9,27.248,PHO,,NYG,L 13-20,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
82,1989,1989-11-12,10,27.255,PHO,,DAL,W 24-20,,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
83,1989,1989-11-19,11,27.262,PHO,@,RAM,L 14-37,,0,0,,0,2,2,100.0,,,,0,2,,,,
84,1989,1989-11-26,12,27.269,PHO,,TAM,L 13-14,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
85,1989,1989-12-03,13,27.276,PHO,,WAS,L 10-29,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
86,1989,1989-12-10,14,27.283,PHO,@,RAI,L 14-16,,0,0,,0,2,2,100.0,,,,0,2,,,,
87,1989,1989-12-16,15,27.289,PHO,,DEN,L 0-37,,,,,,,,,,,,,,,,,
88,1989,1989-12-24,16,27.297,PHO,@,PHI,L 14-31,,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,,0
89,1990,1990-09-09,1,28.191,PHO,@,WAS,L 0-31,,,,,,,,,,,,,,,,,
90,1990,1990-09-16,2,28.198,PHO,@,PHI,W 23-21,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
91,1990,1990-09-23,3,28.205,PHO,@,NOR,L 7-28,,0,0,,0,1,1,100.0,,2,0.0,0,1,0,0,,0
92,1990,1990-09-30,4,28.212,PHO,,WAS,L 10-38,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
93,1990,1990-10-14,5,28.226,PHO,,DAL,W 20-3,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
94,1990,1990-10-21,6,28.233,PHO,@,NYG,L 19-20,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0,0,,0
95,1990,1990-10-28,7,28.240,PHO,,CHI,L 21-31,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
96,1990,1990-11-04,8,28.247,PHO,@,MIA,L 3-23,,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
97,1990,1990-11-11,9,28.254,PHO,@,BUF,L 14-45,,0,0,,0,2,2,100.0,,,,0,2,,,,
98,1990,1990-11-18,10,28.261,PHO,,GNB,L 21-24,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
99,1990,1990-11-25,11,28.268,PHO,,NWE,W 34-14,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
100,1990,1990-12-02,12,28.275,PHO,,IND,W 20-17,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
101,1990,1990-12-09,13,28.282,PHO,@,ATL,W 24-13,,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
102,1990,1990-12-16,14,28.289,PHO,@,DAL,L 10-41,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
103,1990,1990-12-23,15,28.296,PHO,,NYG,L 21-24,,0,0,,0,3,3,100.0,,2,0.0,0,3,0,0,,0
104,1990,1990-12-29,16,28.302,PHO,,PHI,L 21-23,,0,0,,0,3,3,100.0,,,,0,3,,,,
105,1991,1991-11-10,10,29.253,HOU,,DAL,W 26-23,,0,0,,0,2,2,100.0,4,5,80.0,0,14,0,0,,0
106,1991,1991-11-17,11,29.260,HOU,,CLE,W 28-24,,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,,0
107,1991,1991-11-24,12,29.267,HOU,@,PIT,L 14-26,,0,0,,0,2,2,100.0,,,,0,2,,,,
108,1991,1991-12-02,13,29.275,HOU,,PHI,L 6-13,,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
109,1991,1991-12-08,14,29.281,HOU,,PIT,W 31-6,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
110,1991,1991-12-15,15,29.288,HOU,@,CLE,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
111,1991,1991-12-21,16,29.294,HOU,@,NYG,L 20-24,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
112,1992,1992-09-06,1,30.188,HOU,,PIT,L 24-29,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
113,1992,1992-09-13,2,30.195,HOU,@,IND,W 20-10,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
114,1992,1992-09-20,3,30.202,HOU,,KAN,W 23-20,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
115,1992,1992-09-27,4,30.209,HOU,,SDG,W 27-0,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
116,1992,1992-10-11,5,30.223,HOU,@,CIN,W 38-24,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
117,1992,1992-10-18,6,30.230,HOU,@,DEN,L 21-27,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
118,1992,1992-10-25,7,30.237,HOU,,CIN,W 26-10,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
119,1992,1992-11-01,8,30.244,HOU,@,PIT,L 20-21,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
120,1992,1992-11-08,9,30.251,HOU,,CLE,L 14-24,,0,0,,0,2,2,100.0,,,,0,2,,,,
121,1992,1992-11-15,10,30.258,HOU,@,MIN,W 17-13,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
122,1992,1992-11-22,11,30.265,HOU,@,MIA,L 16-19,,0,0,,0,1,1,100.0,3,4,75.0,0,10,0,0,,0
123,1992,1992-11-26,12,30.269,HOU,@,DET,W 24-21,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
124,1992,1992-12-07,13,30.280,HOU,,CHI,W 24-7,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
125,1992,1992-12-13,14,30.286,HOU,,GNB,L 14-16,,0,0,,0,2,2,100.0,,,,0,2,,,,
126,1992,1992-12-20,15,30.293,HOU,@,CLE,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
127,1992,1992-12-27,16,30.300,HOU,,BUF,W 27-3,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
128,1993,1993-09-05,1,31.187,HOU,@,NOR,L 21-33,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
