ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,25.327,CLE,,MIA,L 10-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,4,103,25.75,0,0,0,,0,0,0,0.0,0,0
2,2013,2013-09-15,2,25.334,CLE,@,BAL,L 6-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,44,22.00,0,0,0,,0,0,0,0.0,0,0
3,2013,2013-09-22,3,25.341,CLE,@,MIN,W 31-27,,4,17,4.25,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2013,2013-09-29,4,25.348,CLE,,CIN,W 17-6,,6,9,1.50,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2013,2013-10-03,5,25.352,CLE,,BUF,W 37-24,,2,8,4.00,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2013,2013-10-13,6,25.362,CLE,,DET,L 17-31,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2013,2013-11-03,8,26.018,TAM,@,SEA,L 24-27,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,2013-11-11,9,26.026,TAM,,MIA,W 22-19,,8,45,5.63,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,1,6,0.0,0,0
9,2013,2013-11-17,10,26.032,TAM,,ATL,W 41-28,,30,163,5.43,2,2,2,4,2.00,1,100.0%,2.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,3,18,0.0,0,0
10,2013,2013-11-24,11,26.039,TAM,@,DET,W 24-21,*,18,35,1.94,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2013,2013-12-01,12,26.046,TAM,@,CAR,L 6-27,*,17,63,3.71,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2013,2013-12-08,13,26.053,TAM,,BUF,W 27-6,*,22,127,5.77,1,4,3,-4,-1.33,0,75.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
13,2013,2013-12-15,14,26.060,TAM,,SFO,L 14-33,*,11,27,2.45,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2013,2013-12-22,15,26.067,TAM,@,STL,L 13-23,*,20,37,1.85,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
15,2013,2013-12-29,16,26.074,TAM,@,NOR,L 17-42,*,11,35,3.18,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0
16,2014,2014-09-07,1,26.326,TAM,,CAR,L 14-20,,4,12,3.00,0,2,2,8,4.00,1,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
17,2014,2014-09-14,2,26.333,TAM,,STL,L 17-19,*,22,144,6.55,0,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2014,2014-09-18,3,26.337,TAM,@,ATL,L 14-56,*,11,41,3.73,0,8,7,64,9.14,0,87.5%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0
19,2014,2014-09-28,4,26.347,TAM,@,PIT,W 27-24,,4,2,0.50,0,2,1,16,16.00,0,50.0%,8.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2014,2014-10-05,5,26.354,TAM,@,NOR,L 31-37,,6,21,3.50,1,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0
21,2014,2014-10-12,6,26.361,TAM,,BAL,L 17-48,,7,42,6.00,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2014,2014-10-26,7,27.010,TAM,,MIN,L 13-19,,8,25,3.13,0,6,6,41,6.83,0,100.0%,6.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0
23,2014,2014-11-02,8,27.017,TAM,@,CLE,L 17-22,*,19,87,4.58,0,3,1,34,34.00,0,33.3%,11.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2014,2014-11-09,9,27.024,TAM,,ATL,L 17-27,*,6,14,2.33,0,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2014,2014-11-16,10,27.031,TAM,@,WAS,W 27-7,*,5,4,0.80,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,1
26,2014,2014-11-23,11,27.038,TAM,@,CHI,L 13-21,,1,3,3.00,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0
27,2014,2014-11-30,12,27.045,TAM,,CIN,L 13-14,,1,11,11.00,0,2,2,41,20.50,0,100.0%,20.50,0,0,,0,0,0,,0,0,,,1,19,19.00,0,3,21,7.00,0,0,0,0.0,1,0
28,2014,2014-12-14,14,27.059,TAM,@,CAR,L 17-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,,0,0,0,0.0,0,0
29,2014,2014-12-21,15,27.066,TAM,,GNB,L 3-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,29,29.00,0,1,0,0.00,0,0,0,0.0,0,0
30,2014,2014-12-28,16,27.073,TAM,,NOR,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,85,28.33,0,3,34,11.33,0,0,0,0.0,0,0
31,2015,2015-09-13,1,27.332,TAM,,TEN,L 14-42,,3,10,3.33,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,3,83,27.67,0,2,17,8.50,0,0,0,0.0,0,0
32,2015,2015-09-20,2,27.339,TAM,@,NOR,W 26-19,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,1,37,37.00,0,3,34,11.33,0,0,0,0.0,0,0
33,2015,2015-09-27,3,27.346,TAM,@,HOU,L 9-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,27,27.00,0,5,48,9.60,0,0,0,0.0,0,0
34,2015,2015-10-04,4,27.353,TAM,,CAR,L 23-37,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,3,92,30.67,0,2,15,7.50,0,0,0,0.0,0,0
35,2015,2015-10-11,5,27.360,TAM,,JAX,W 38-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,3,85,28.33,0,0,0,0.0,0,0
36,2015,2015-10-25,6,28.009,TAM,@,WAS,L 30-31,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,1,15,15.00,0,3,18,6.00,0,0,0,0.0,0,0
37,2015,2015-11-01,7,28.016,TAM,@,ATL,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2015,2015-11-08,8,28.023,TAM,,NYG,L 18-32,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,4,87,21.75,0,1,1,1.00,0,0,0,0.0,0,0
39,2015,2015-11-15,9,28.030,TAM,,DAL,W 10-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0.0,0,0
40,2015,2015-11-22,10,28.037,TAM,@,PHI,W 45-17,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,20,20.00,0,3,19,6.33,0,0,0,0.0,0,0
41,2015,2015-11-29,11,28.044,TAM,@,IND,L 12-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
42,2015,2015-12-06,12,28.051,TAM,,ATL,W 23-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,39,19.50,0,2,41,20.50,0,0,0,0.0,0,0
43,2015,2015-12-13,13,28.058,TAM,,NOR,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,0,0,0.0,0,0
44,2015,2015-12-17,14,28.062,TAM,@,STL,L 23-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0,0,0,0.0,0,0
45,2015,2015-12-27,15,28.072,TAM,,CHI,L 21-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,0,0,0.0,0,0
46,2015,2016-01-03,16,28.079,TAM,@,CAR,L 10-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
47,2016,2016-09-11,1,28.331,NYG,@,DAL,W 20-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
48,2016,2016-09-25,3,28.345,NYG,,WAS,L 27-29,,0,0,,0,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2016,2016-10-03,4,28.353,NYG,@,MIN,L 10-24,,4,22,5.50,0,9,7,43,6.14,0,77.8%,4.78,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
50,2016,2016-10-09,5,28.359,NYG,@,GNB,L 16-23,,5,22,4.40,0,6,6,52,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,,,1,37,37.00,0,0,0,,0,0,0,0.0,0,0
51,2016,2016-10-16,6,29.000,NYG,,BAL,W 27-23,,6,13,2.17,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2016,2016-10-23,7,29.007,NYG,@,LAR,W 17-10,,1,1,1.00,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2016,2016-11-06,8,29.021,NYG,,PHI,W 28-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2016,2016-11-14,9,29.029,NYG,,CIN,W 21-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,3,32,10.67,0,0,0,0.0,0,0
55,2016,2016-11-20,10,29.035,NYG,,CHI,W 22-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2016,2016-11-27,11,29.042,NYG,@,CLE,W 27-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,51,25.50,0,3,7,2.33,0,0,0,0.0,0,0
57,2016,2016-12-04,12,29.049,NYG,@,PIT,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,38,38.00,0,0,0,,0,0,0,0.0,0,0
58,2016,2016-12-11,13,29.056,NYG,,DAL,W 10-7,,1,5,5.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,2,40,20.00,0,0,0,,0,0,0,0.0,0,0
59,2016,2016-12-18,14,29.063,NYG,,DET,W 17-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
60,2016,2016-12-22,15,29.067,NYG,@,PHI,L 19-24,,0,0,,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0,0.0,1,0
61,2016,2017-01-01,16,29.077,NYG,@,WAS,W 19-10,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0
62,2017,2017-10-15,6,29.364,BAL,,CHI,L 24-27,,0,0,,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,5,191,38.20,1,0,0,,0,1,6,0.0,0,0
63,2017,2017-10-22,7,30.006,BAL,@,MIN,L 16-24,,0,0,,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,4,99,24.75,0,0,0,,0,0,0,0.0,0,0
64,2017,2017-10-26,8,30.010,BAL,,MIA,W 40-0,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,0,0,0.0,0,0
65,2017,2017-11-05,9,30.020,BAL,@,TEN,L 20-23,,1,2,2.00,0,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,0,0,,0,0,,,1,22,22.00,0,2,22,11.00,0,0,0,0.0,0,0
